Identifier,LeadID,Industry,Bank_Name,description,transaction_type,amount,B2C_KW_Category,Yodlee_Category
53,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,272.51,TRADE REVENUE,Uncategorized
54,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1491.58,TRADE REVENUE,Uncategorized
55,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,349.73,TRADE REVENUE,Other Income
56,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2992,debit,1302,TRANSFERS,Transfers
57,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,94.63,TRADE REVENUE,Uncategorized
58,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,124.5,TRADE REVENUE,Other Income
59,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,265.61,TRADE REVENUE,Uncategorized
60,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,218.68,TRADE REVENUE,Uncategorized
61,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,418.67,TRADE REVENUE,Uncategorized
62,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,29.09,TRADE REVENUE,Other Income
63,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,84.28,TRADE REVENUE,Other Income
64,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,66.34,TRADE REVENUE,Other Income
65,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9890,debit,3026,TRANSFERS,Transfers
66,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,254.23,TRADE REVENUE,Uncategorized
67,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1004.64,TRADE REVENUE,Other Income
68,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,380.3,TRADE REVENUE,Uncategorized
69,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,92.76,TRADE REVENUE,Other Income
70,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,311.89,TRADE REVENUE,Uncategorized
71,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,8.97,TRADE REVENUE,Other Income
72,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,972.68,TRADE REVENUE,Uncategorized
73,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6677,debit,1179,TRANSFERS,Transfers
74,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,432.93,TRADE REVENUE,Uncategorized
75,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,746.61,TRADE REVENUE,Uncategorized
76,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,226.2,CREDIT CARD PAYMENTS,Credit Card Payments
77,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,298.3,TRADE REVENUE,Other Income
78,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9231,debit,741,TRANSFERS,Transfers
79,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,641.6,TRADE REVENUE,Uncategorized
80,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,132.62,TRADE REVENUE,Other Income
81,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,336.78,TRADE REVENUE,Uncategorized
82,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,442.66,TRADE PAYMENTS,Travel
83,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6920,debit,627,TRANSFERS,Transfers
84,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,645.95,TRADE REVENUE,Uncategorized
85,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx5906,debit,8644,TRANSFERS,Transfers
86,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,193.47,TRADE REVENUE,Other Income
87,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
88,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1018.32,TRADE REVENUE,Uncategorized
89,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,178.25,TRADE REVENUE,Other Income
90,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,274.14,TRADE REVENUE,Uncategorized
91,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx5332,debit,2788,TRANSFERS,Transfers
92,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,592.73,TRADE REVENUE,Other Income
93,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1103.54,TRADE REVENUE,Uncategorized
94,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,547.77,TRADE PAYMENTS,Travel
95,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,658.44,TRADE REVENUE,Other Income
96,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,999.6,TRADE REVENUE,Uncategorized
97,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8118,debit,1876,TRANSFERS,Transfers
98,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,17.13,TRADE REVENUE,Other Income
99,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,136.01,TRADE REVENUE,Uncategorized
100,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
101,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,443.65,TRADE REVENUE,Uncategorized
102,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1279.43,TRADE REVENUE,Uncategorized
103,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,178.25,TRADE REVENUE,Other Income
104,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx1241,debit,436,TRANSFERS,Transfers
105,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,254.75,TRADE REVENUE,Other Income
106,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2067,debit,433,TRANSFERS,Transfers
107,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,435.77,TRADE REVENUE,Uncategorized
108,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1055.33,TRADE REVENUE,Other Income
109,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2608,debit,14163,TRANSFERS,Transfers
110,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1390.26,TRADE REVENUE,Uncategorized
111,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,2015.65,TRADE REVENUE,Other Income
112,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,248.95,TRADE REVENUE,Uncategorized
113,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,151.98,TRADE REVENUE,Other Income
114,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1236.14,TRADE REVENUE,Uncategorized
115,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,77.12,TRADE REVENUE,Uncategorized
116,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,24,TRADE REVENUE,Other Income
117,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1306.28,TRADE REVENUE,Uncategorized
118,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,882.53,TRADE REVENUE,Uncategorized
119,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,84.76,TRADE REVENUE,Other Income
120,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS CHGBCK/ADJ xxxxxx9665 CCD ID: xxxxxx2250,credit,110,REFUNDS/ADJUSTMENTS,Refunds/Adjusments
121,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,263.12,TRADE REVENUE,Other Income
122,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,809.75,TRADE REVENUE,Uncategorized
123,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,478.73,TRADE REVENUE,Other Income
124,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1815.85,TRADE REVENUE,Uncategorized
125,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,586.84,TRADE REVENUE,Other Income
126,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1625.33,TRADE REVENUE,Uncategorized
127,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0026,debit,5327,TRANSFERS,Transfers
128,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,3945.28,TRADE REVENUE,Other Income
129,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,597.22,TRADE REVENUE,Uncategorized
130,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS CHGBCK/ADJ xxxxxx9665 CCD ID: xxxxxx2250,debit,155.75,REFUNDS/ADJUSTMENTS,Credit Card Payments
131,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,32.52,TRADE REVENUE,Uncategorized
132,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,210.16,TRADE REVENUE,Uncategorized
133,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,698.04,TRADE REVENUE,Uncategorized
134,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,762.53,TRADE REVENUE,Other Income
135,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS CHGBCK/ADJ xxxxxx9665 CCD ID: xxxxxx2250,debit,110,REFUNDS/ADJUSTMENTS,Credit Card Payments
136,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,858.9,TRADE REVENUE,Other Income
137,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4794,debit,1640,TRANSFERS,Transfers
138,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,128.2,TRADE REVENUE,Uncategorized
139,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx1237,debit,1467,TRANSFERS,Transfers
140,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,309.97,TRADE REVENUE,Other Income
141,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1156.71,TRADE REVENUE,Uncategorized
142,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,140,TRADE REVENUE,Other Income
143,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2548,debit,513,TRANSFERS,Transfers
144,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,373.75,TRADE REVENUE,Uncategorized
145,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2556,debit,3663,TRANSFERS,Transfers
146,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,36.75,TRADE REVENUE,Other Income
147,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1288.89,TRADE REVENUE,Uncategorized
148,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,372.02,TRADE REVENUE,Uncategorized
149,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,247.77,TRADE REVENUE,Uncategorized
150,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,598.7,TRADE REVENUE,Uncategorized
151,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,121.66,TRADE REVENUE,Other Income
152,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,183.54,TRADE REVENUE,Other Income
153,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,813.52,TRADE REVENUE,Uncategorized
154,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9773,debit,2295,TRANSFERS,Transfers
