Identifier,LeadID,Industry,Bank_Name,description,transaction_type,amount,B2C_KW_Category,Yodlee_Category
X34,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,651.69,TRADE REVENUE,Other Income
X35,4412,Wholesale Trade,Chase - Bank,Payment to Chase card ending in4333,debit,200,CREDIT CARD PAYMENTS,Credit Card Payments
X36,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,471.25,TRADE REVENUE,Uncategorized
X37,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,866.05,TRADE REVENUE,Other Income
X38,4412,Wholesale Trade,Chase - Bank,POLAND SPRING WATER xxx-xxx-9395CA 12/19,debit,30.19,UTILITIES,Utilities
X39,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,188.23,TRADE REVENUE,Uncategorized
X40,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,131.25,TRADE REVENUE,Other Income
X41,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,613.79,TRADE REVENUE,Other Income
X42,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,468.64,TRADE REVENUE,Uncategorized
X43,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,479.09,TRADE REVENUE,Uncategorized
X44,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,75.59,TRADE REVENUE,Other Income
X45,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,750.95,TRADE REVENUE,Uncategorized
X46,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,407.93,TRADE REVENUE,Uncategorized
X47,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,35.34,TRADE REVENUE,Other Income
X48,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,819.31,TRADE REVENUE,Other Income
X49,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,16.86,TRADE REVENUE,Other Income
X50,4412,Wholesale Trade,Chase - Bank,CHECK 1897,debit,1901.49,CHECKS,Checks
X51,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx7778,credit,6357,TRANSFERS,Transfers
X52,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx7778,debit,6357,TRANSFERS,Transfers
X53,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,117.85,TRADE REVENUE,Uncategorized
X54,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSADJ xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,87.89,TRADE REVENUE,Uncategorized
X55,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSADJ xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,88.94,TRADE REVENUE,Uncategorized
X56,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,177.36,TRADE PAYMENTS,Uncategorized
X57,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,989.22,TRADE REVENUE,Uncategorized
X58,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,276.27,TRADE REVENUE,Uncategorized
X59,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx2109,credit,2254,TRANSFERS,Transfers
X60,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx2109,debit,2254,TRANSFERS,Transfers
X61,4412,Wholesale Trade,Chase - Bank,CHECK 1901,debit,554.1,CHECKS,Checks
X62,4412,Wholesale Trade,Chase - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
X63,4412,Wholesale Trade,Chase - Bank,DEPOSIT,credit,8000,DEPOSITS,Deposits
X64,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,581.82,TRADE REVENUE,Uncategorized
X65,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,407.46,TRADE REVENUE,Other Income
X66,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,78.78,TRADE REVENUE,Other Income
X67,4412,Wholesale Trade,Chase - Bank,CHECK 1906,debit,251.6,CHECKS,Checks
X68,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
X69,4412,Wholesale Trade,Chase - Bank,CHECK 1904,debit,1049.98,CHECKS,Checks
X70,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,749.5,TRADE REVENUE,Uncategorized
X71,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,141.5,TRADE REVENUE,Other Income
X72,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,454.47,TRADE PAYMENTS,Uncategorized
X73,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS AXP DISCNT xxxxxx9665 CCD ID: xxxxxx2250,debit,375.26,CREDIT CARD PAYMENTS,Credit Card Payments
X74,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,585.59,TRADE REVENUE,Uncategorized
X75,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,294.22,TRADE REVENUE,Other Income
X76,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,41.78,POSTAGE AND SHIPPING,Postage and Shipping
X77,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,515.56,TRADE REVENUE,Uncategorized
X78,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,42.18,POSTAGE AND SHIPPING,Postage and Shipping
X79,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1554.73,TRADE REVENUE,Uncategorized
X80,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,37.4,POSTAGE AND SHIPPING,Postage and Shipping
X81,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,49.15,POSTAGE AND SHIPPING,Postage and Shipping
X82,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,43.19,POSTAGE AND SHIPPING,Postage and Shipping
X83,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,5.91,POSTAGE AND SHIPPING,Postage and Shipping
X84,4412,Wholesale Trade,Chase - Bank,SERVICE CHARGES FOR THE MONTH OF DECEMBER,debit,60,SERVICE CHARGES/FEES,Service Charges/Fees
X85,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,34.19,POSTAGE AND SHIPPING,Postage and Shipping
X86,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,7.02,POSTAGE AND SHIPPING,Postage and Shipping
X87,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,197.07,POSTAGE AND SHIPPING,Postage and Shipping
X88,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,151.63,POSTAGE AND SHIPPING,Postage and Shipping
X89,4412,Wholesale Trade,Chase - Bank,CHECK 1907,debit,1847.1,CHECKS,Checks
X90,4412,Wholesale Trade,Chase - Bank,CHECK 1908,debit,1847.1,CHECKS,Checks
X91,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,65.71,POSTAGE AND SHIPPING,Postage and Shipping
X92,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,62.22,POSTAGE AND SHIPPING,Postage and Shipping
X93,4412,Wholesale Trade,Chase - Bank,CHECK 1905,debit,136.62,CHECKS,Checks
X94,4412,Wholesale Trade,Chase - Bank,U. P. S. UPS BILL xxxxx0000F586Y7 CCD ID: xxxxxx0436,debit,117,POSTAGE AND SHIPPING,Postage and Shipping
X95,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,778.46,TRADE REVENUE,Other Income
X96,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx4598,credit,4657,TRANSFERS,Transfers
X97,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4598,debit,4657,TRANSFERS,Transfers
X98,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,814.19,TRADE REVENUE,Uncategorized
X99,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,383.14,TRADE REVENUE,Uncategorized
X100,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,841.76,TRADE REVENUE,Other Income
X101,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,136.99,TRADE REVENUE,Uncategorized
X102,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,319.19,TRADE REVENUE,Other Income
X103,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,23.97,TRADE REVENUE,Other Income
X104,4412,Wholesale Trade,Chase - Bank,Payment to Chase card ending in4333,debit,200,CREDIT CARD PAYMENTS,Credit Card Payments
X105,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,15.66,TRADE REVENUE,Other Income
X106,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,983.34,TRADE REVENUE,Uncategorized
X107,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,308.59,TRADE REVENUE,Uncategorized
X108,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,707.46,TRADE REVENUE,Uncategorized
X109,4412,Wholesale Trade,Chase - Bank,ATM CHECK DEPOSIT 01/14 1260 BROADWAY NEW YORK NY,credit,157,DEPOSITS,Deposits
X110,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx4705,credit,4231,TRANSFERS,Transfers
X111,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4705,debit,4231,TRANSFERS,Transfers
X112,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,122.75,CREDIT CARD PAYMENTS,Credit Card Payments
X113,4412,Wholesale Trade,Chase - Bank,ATM CASH DEPOSIT 01/14 1260 BROADWAY NEW YORK NY,credit,160,DEPOSITS,ATM/Cash Withdrawals
X114,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,633.7,TRADE REVENUE,Uncategorized
X115,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,132.4,TRADE REVENUE,Other Income
X116,4412,Wholesale Trade,Chase - Bank,IRS USATAXPYMT xxxxxxxxxxx1153 CCD ID: xxxxxx2000,debit,504,TAXES,Taxes
X117,4412,Wholesale Trade,Chase - Bank,BIGCOMMERCE.COM xxx-xxx1350 TX01/14,debit,149.95,ONLINE SERVICES,Online Services
X118,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx8594,credit,877,TRANSFERS,Transfers
X119,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8594,debit,877,TRANSFERS,Transfers
X120,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,744.27,TRADE REVENUE,Uncategorized
X121,4412,Wholesale Trade,Chase - Bank,IRS USATAXPYMT xxxxxxxxxxx9416 CCD ID: xxxxxx2000,debit,1339.72,TAXES,Taxes
X122,4412,Wholesale Trade,Chase - Bank,CHECK 1909,debit,22769.31,CHECKS,Checks
X123,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,391.77,TRADE REVENUE,Uncategorized
X124,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx6730,credit,881,TRANSFERS,Transfers
X125,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6730,debit,881,TRANSFERS,Transfers
X126,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,489.34,TRADE REVENUE,Other Income
X127,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx6899,credit,174,TRANSFERS,Transfers
X128,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6899,debit,174,TRANSFERS,Transfers
X129,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,174.44,TRADE REVENUE,Uncategorized
X130,4412,Wholesale Trade,Chase - Bank,American Express ACH PMT M0506 WEB ID: xxxxxx2111,debit,300,CREDIT CARD PAYMENTS,Credit Card Payments
X131,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,249.89,TRADE REVENUE,Uncategorized
X132,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,490.27,TRADE REVENUE,Other Income
X133,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx4636,credit,2136,TRANSFERS,Transfers
X134,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4636,debit,2136,TRANSFERS,Transfers
X135,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,794.08,TRADE REVENUE,Uncategorized
X136,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,601.74,TRADE REVENUE,Uncategorized
X137,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,19.3,TRADE REVENUE,Other Income
X138,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,483.91,TRADE REVENUE,Uncategorized
X139,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,849.37,TRADE REVENUE,Uncategorized
X140,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1722.44,TRADE REVENUE,Other Income
X141,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,702.12,TRADE REVENUE,Other Income
X142,4412,Wholesale Trade,Chase - Bank,DEPOSIT,credit,759,DEPOSITS,Deposits
X143,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,458,TRADE REVENUE,Other Income
X144,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1170.55,TRADE REVENUE,Uncategorized
X145,4412,Wholesale Trade,Chase - Bank,CHECK 1902,debit,1901.49,CHECKS,Checks
X146,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,190.58,TRADE REVENUE,Uncategorized
X147,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx6336,credit,5991,TRANSFERS,Transfers
X148,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6336,debit,5991,TRANSFERS,Transfers
X149,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,394.55,TRADE REVENUE,Uncategorized
X150,4412,Wholesale Trade,Chase - Bank,ONLINE INTERNATIONAL WIRE TRANSFER A/C: BANK OF CHINA LIMITED HE,debit,3000,TRANSFERS,Transfers
X151,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,15.18,TRADE REVENUE,Uncategorized
X152,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,37.52,TRADE REVENUE,Other Income
X153,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,61.25,TRADE REVENUE,Other Income
X154,4412,Wholesale Trade,Chase - Bank,NYS TAX &amp; FINANC WT PYMT Wxxxxxxx5236 CCD ID: xxxxxx8475,debit,659.61,TAXES,Taxes
X155,4412,Wholesale Trade,Chase - Bank,NYS TAX &amp; FINANC UI PYMT Uxxxxxxx5236 CCD ID: xxxxxx9984,debit,37.8,TAXES,Taxes
X156,4412,Wholesale Trade,Chase - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
X157,4412,Wholesale Trade,Chase - Bank,DEPOSIT,credit,8059,DEPOSITS,Deposits
X158,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,364.59,TRADE REVENUE,Uncategorized
X159,4412,Wholesale Trade,Chase - Bank,CHECK 1911,debit,200,CHECKS,Checks
X160,4412,Wholesale Trade,Chase - Bank,CHECK 1918,debit,22769.31,CHECKS,Checks
X161,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx0620,credit,652,TRANSFERS,Transfers
X162,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0620,debit,652,TRANSFERS,Transfers
X163,4412,Wholesale Trade,Chase - Bank,CHECK 1919,debit,554.1,CHECKS,Checks
X164,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx4089,credit,2979,TRANSFERS,Transfers
X165,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4089,debit,2979,TRANSFERS,Transfers
X166,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS COLLECTION xxxxxx9665 CCD ID: xxxxxx2250,debit,7.95,CREDIT CARD PAYMENTS,Credit Card Payments
X167,4412,Wholesale Trade,Chase - Bank,CHECK 1916,debit,110.87,CHECKS,Checks
X168,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,926.72,TRADE REVENUE,Uncategorized
X169,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1591.71,TRADE REVENUE,Other Income
X170,4412,Wholesale Trade,Chase - Bank,DEPOSIT,credit,7000,DEPOSITS,Deposits
X171,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,660.16,TRADE REVENUE,Other Income
X172,4412,Wholesale Trade,Chase - Bank,CHECK 1915,debit,462,CHECKS,Checks
X173,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,371.11,TRADE REVENUE,Uncategorized
